OrderID,OrderDate,CustomerID,ProductID,Quantity,UnitPrice,Discount,SalesAmount
1,2024-09-02,906,25,2,81.27,0.05,154.41299999999998
2,2023-01-03,175,116,3,50.56,0.0,151.68
3,2023-10-11,23,95,3,441.71,0.15,1126.3604999999998
4,2023-05-29,1749,102,2,192.17,0.1,345.906
5,2023-05-14,1941,25,4,254.38,0.1,915.768
6,2024-07-07,235,27,2,403.5,,807.0
7,2023-09-14,1037,32,4,192.85,,771.4
8,2023-06-28,1125,11,4,435.3,0.0,1741.2
9,2023-04-23,929,69,1,167.63,0.1,150.867
10,2024-11-07,1560,108,2,368.87,,737.74
11,2023-01-27,1900,33,2,337.01,0.05,640.319
12,2023-05-15,523,19,4,108.66,,434.64
13,2023-01-16,1809,107,4,71.0,0.0,284.0
14,2024-01-02,1476,111,1,64.66,0.0,64.66
15,2023-09-01,431,16,4,328.95,0.05,1250.01
16,2024-08-25,793,99,4,16.34,0.15,55.556
17,2023-11-28,1630,11,3,333.73,0.1,901.071
18,2023-01-17,1737,75,2,393.16,0.0,786.32
19,2023-06-28,533,74,1,158.23,0.1,142.40699999999998
20,2023-09-29,1876,98,1,375.39,0.05,356.6205
21,2023-02-23,979,116,4,91.04,0.05,345.952
22,2023-05-10,1747,69,2,480.64,0.15,817.088
23,2024-03-07,1676,87,3,123.71,0.0,371.13
24,2024-06-22,1317,55,1,249.3,0.05,236.835
25,2023-04-27,810,25,4,490.44,,1961.76
26,2023-03-07,913,93,2,454.5,0.1,818.1
27,2024-05-02,1125,104,3,333.14,0.1,899.478
28,2024-04-04,1526,77,2,190.9,,381.8
29,2024-01-06,1328,111,1,353.04,0.1,317.73600000000005
30,2024-06-09,871,96,4,235.53,,942.12
31,2024-08-30,540,34,4,63.33,0.1,227.988
32,2023-04-22,1024,12,1,400.03,0.05,380.02849999999995
33,2024-04-07,1577,88,1,437.09,0.15,371.52649999999994
34,2024-05-30,1379,104,2,209.73,0.0,419.46
35,2023-08-15,1327,21,1,336.21,0.0,336.21
36,2024-09-21,1520,29,2,24.88,0.0,49.76
37,2023-02-14,1682,51,4,106.65,0.0,426.6
38,2024-11-05,1792,23,3,289.43,0.0,868.29
39,2024-06-17,1998,33,4,144.3,,577.2
40,2023-11-05,227,8,4,472.74,0.05,1796.412
41,2024-04-14,1260,42,3,420.15,0.15,1071.3824999999997
42,2024-10-20,873,77,3,330.95,0.0,992.8499999999999
43,2023-02-01,892,69,3,499.43,0.1,1348.461
44,2023-03-04,1479,118,4,129.19,0.1,465.084
45,2024-05-05,1037,41,1,460.37,0.15,391.3145
46,2024-02-16,210,74,4,159.24,0.0,636.96
47,2024-03-12,741,63,1,302.33,0.0,302.33
48,2023-04-21,397,14,2,222.84,0.05,423.396
49,2024-05-17,1124,88,4,227.18,0.1,817.8480000000001
50,2024-03-30,31,62,3,383.63,0.1,1035.801
51,2023-03-17,898,75,4,180.3,,721.2
52,2023-03-24,1552,46,4,258.69,0.1,931.284
53,2023-11-26,649,67,3,113.74,0.0,341.21999999999997
54,2024-09-14,329,93,2,384.1,0.0,768.2
55,2023-06-01,1190,53,2,280.45,0.1,504.81
56,2023-03-09,1483,112,2,134.98,,269.96
57,2023-05-10,1846,52,2,140.31,0.15,238.527
58,2023-10-09,952,94,4,153.83,0.1,553.788
59,2024-10-01,1124,113,4,352.65,0.15,1199.01
60,2024-10-10,621,101,3,301.6,0.1,814.32
